epoch,accuracy,loss,val_accuracy,val_loss
0,0.8149957656860352,0.8498320579528809,0.9730769395828247,0.2634139358997345
1,0.98178631067276,0.20445393025875092,0.9939903616905212,0.13377287983894348
2,0.9924861788749695,0.12048117071390152,0.9954326748847961,0.09556984901428223
3,0.9951943755149841,0.08721736073493958,0.9947115182876587,0.0756848156452179
4,0.9958846569061279,0.06707772612571716,0.9915865659713745,0.07347510010004044
5,0.9957519173622131,0.060370802879333496,0.9987980723381042,0.03991734981536865
6,0.9968670606613159,0.04547291621565819,0.9954326748847961,0.047735512256622314
7,0.9973183870315552,0.039184268563985825,0.9985576868057251,0.03337720036506653
8,0.9972652792930603,0.035914551466703415,0.9963942170143127,0.036593247205019
9,0.998911440372467,0.027131110429763794,0.9990384578704834,0.020507151260972023
10,0.9976369738578796,0.028274478390812874,0.995192289352417,0.04601329565048218
11,0.9972121715545654,0.029661545529961586,0.9990384578704834,0.019717251881957054
12,0.9964687824249268,0.03167029842734337,0.9980769157409668,0.024218525737524033
13,0.9982210993766785,0.02395065315067768,0.9971153736114502,0.029446398839354515
14,0.9989645481109619,0.01886320859193802,0.9997596144676208,0.0165540911257267
15,0.999973475933075,0.012930771335959435,0.9995192289352417,0.013555154204368591
16,0.9950350522994995,0.033613525331020355,0.9992788434028625,0.018504714593291283
17,0.9993627667427063,0.015367722138762474,0.9990384578704834,0.01612454652786255
18,0.9996548295021057,0.012616652995347977,0.9995192289352417,0.010802098549902439
19,0.9975839257240295,0.01779928244650364,0.9870192408561707,0.07697233557701111
20,0.9971590638160706,0.024438176304101944,0.9985576868057251,0.016276026144623756
21,0.9994955658912659,0.011989926919341087,0.9990384578704834,0.015035196207463741
22,0.9984866380691528,0.017789753153920174,0.9985576868057251,0.014032159000635147
23,0.9977697730064392,0.01796833984553814,0.9985576868057251,0.023918064311146736
24,0.9996814131736755,0.01158726867288351,0.9985576868057251,0.014613214880228043
25,0.999442458152771,0.010453969240188599,0.9978365302085876,0.021730126813054085
26,0.9962032437324524,0.026349898427724838,0.9985576868057251,0.012774866074323654
27,0.9999468922615051,0.008649377152323723,0.9990384578704834,0.011280684731900692
28,0.9987521171569824,0.012111172080039978,0.9865384697914124,0.05969496816396713
29,0.9972387552261353,0.02010371908545494,0.9971153736114502,0.020146286115050316
