epoch,accuracy,loss,val_accuracy,val_loss
0,0.6209908723831177,1.3928014039993286,0.8555288314819336,0.636255145072937
1,0.8699023127555847,0.5549182891845703,0.9307692050933838,0.35118821263313293
2,0.91928631067276,0.3659045100212097,0.951442301273346,0.25207456946372986
3,0.9454917311668396,0.2687503397464752,0.9588942527770996,0.2063380777835846
4,0.9605458974838257,0.20818744599819183,0.9685096144676208,0.16875292360782623
5,0.9691216945648193,0.16902795433998108,0.9745192527770996,0.13872669637203217
6,0.9753611087799072,0.13885872066020966,0.9788461327552795,0.12007076293230057
7,0.9787595868110657,0.12285632640123367,0.9790865182876587,0.11313188821077347
8,0.9809367060661316,0.10675694048404694,0.9807692170143127,0.09604647010564804
9,0.9856361746788025,0.08979789912700653,0.9870192408561707,0.07634762674570084
10,0.9872822761535645,0.08015131950378418,0.9908654093742371,0.062315091490745544
11,0.9891142845153809,0.07146274298429489,0.9913461804389954,0.055770158767700195
12,0.9897514581680298,0.06560777872800827,0.9903846383094788,0.057454343885183334
13,0.9903886914253235,0.06115259230136871,0.9920673370361328,0.05354136973619461
14,0.9917427897453308,0.054147809743881226,0.9903846383094788,0.05693337321281433
15,0.991716206073761,0.05307650938630104,0.9913461804389954,0.0531754232943058
16,0.9934951066970825,0.047261837869882584,0.9947115182876587,0.03810393437743187
17,0.9928313493728638,0.046172134578228,0.9901442527770996,0.04995483160018921
18,0.9946898818016052,0.040684472769498825,0.9911057949066162,0.048224687576293945
19,0.995274007320404,0.03779827803373337,0.9932692050933838,0.04108613356947899
20,0.994265079498291,0.039804112166166306,0.9959134459495544,0.03065599873661995
21,0.9934685826301575,0.038869116455316544,0.9942307472229004,0.03404664620757103
22,0.995274007320404,0.0331915058195591,0.9937499761581421,0.03423145040869713
23,0.9943978190422058,0.03554702550172806,0.9963942170143127,0.028828110545873642
24,0.9955925941467285,0.031443264335393906,0.9923076629638672,0.03793754428625107
25,0.9947429895401001,0.03375031054019928,0.9949519038200378,0.03436976298689842
26,0.9964953064918518,0.02733086422085762,0.9954326748847961,0.02790282666683197
27,0.995353639125824,0.031018314883112907,0.9942307472229004,0.03482664376497269
28,0.9957519173622131,0.028474818915128708,0.9932692050933838,0.03162970021367073
29,0.9965484142303467,0.02703874371945858,0.9959134459495544,0.025824308395385742
